"GEO_ID","NAME","NAICS2022","NAICS2022_LABEL","TYPOP","TYPOP_LABEL","TAXSTAT","TAXSTAT_LABEL","YEAR","FIRM","ESTAB","RCPTOT","PAYANN","PAYQTR1","EMP","RCPTOT_IMP","PAYANN_IMP","EMP_IMP",
"Geographic identifier code","Geographic Area Name","2022 NAICS code","Meaning of NAICS Code","Type of operation code","Meaning of Type of operation code","Tax status code","Meaning of Tax status code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed",
"0100000US","United States","115(110)","Support activities for agriculture and forestry(110)","00","All establishments","00","All establishments","2022","14468","14940","59328696","10585491","2344782","324359","20% to less than 30%","20% to less than 30%","Less than 10%",
"0100000US","United States","21","Mining, quarrying, and oil and gas extraction","00","All establishments","00","All establishments","2022","16658","22472","596820782","51603653","13295779","565193","50% to less than 60%","50% to less than 60%","40% to less than 50%",
"0100000US","United States","211","Oil and gas extraction","00","All establishments","00","All establishments","2022","3993","5039","413424104","12483975","4021325","104788","60% to less than 70%","60% to less than 70%","50% to less than 60%",
"0100000US","United States","212","Mining (except oil and gas)","00","All establishments","00","All establishments","2022","3319","5819","97736820","14047831","3476469","173447","20% to less than 30%","30% to less than 40%","20% to less than 30%",
"0100000US","United States","213","Support activities for mining","00","All establishments","00","All establishments","2022","9454","11614","85659858","25071847","5797985","286958","60% to less than 70%","50% to less than 60%","60% to less than 70%",
"0100000US","United States","22","Utilities","00","All establishments","00","All establishments","2022","7406","21107","744750176","75528772","21942751","676197","10% to less than 20%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","221","Utilities","00","All establishments","00","All establishments","2022","7406","21107","744750176","75528772","21942751","676197","10% to less than 20%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","23","Construction","00","All establishments","00","All establishments","2022","784763","801704","2924168694","529774998","116457336","7606446","20% to less than 30%","10% to less than 20%","50% to less than 60%",
"0100000US","United States","236","Construction of buildings","00","All establishments","00","All establishments","2022","246135","249706","1223104731","124479558","29104061","1631357","20% to less than 30%","10% to less than 20%","50% to less than 60%",
"0100000US","United States","237","Heavy and civil engineering construction","00","All establishments","00","All establishments","2022","34485","37317","396734685","83182718","17553206","1036688","20% to less than 30%","10% to less than 20%","50% to less than 60%",
"0100000US","United States","238","Specialty trade contractors","00","All establishments","00","All establishments","2022","504746","514681","1304329278","322112722","69800069","4938401","10% to less than 20%","Less than 10%","50% to less than 60%",
"0100000US","United States","31-33","Manufacturing","00","All establishments","00","All establishments","2022","240786","286493","7061077444","814733642","201836666","12260726","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","311","Food manufacturing","00","All establishments","00","All establishments","2022","24854","29693","1034729303","88828349","21351046","1658847","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","312","Beverage and tobacco product manufacturing","00","All establishments","00","All establishments","2022","11343","12326","172615681","15432588","3762453","269083","50% to less than 60%","30% to less than 40%","40% to less than 50%",
